"","x"
"1",-0.145398885857702
"2",0.0669721881968947
"3",-0.0775378426986844
"4",0.0304627073531547
"5",-0.0960812382905985
"6",0.00643169172710793
"7",0.113901946014957
"8",-0.0637711380341097
"9",-0.156071008642118
"10",-0.0873985068610416
"11",0.0847433506138274
"12",-0.0790641722692546
"13",0.217716968941863
"14",-0.116862892839399
"15",-0.126396420025425
"16",0.0941265142536779
"17",-0.0584421633150748
"18",0.126681550534605
"19",0.110966179430019
"20",-0.043094675152126
"21",0.0483686589143859
"22",0.0507358389745126
"23",-0.0157709468741811
"24",0.258785796210027
"25",0.0222550197815541
"26",-0.107908850303127
"27",0.202654776178645
"28",-0.114106023597516
"29",0.472782851101688
"30",0.117242465112707
"31",0.228604492020439
"32",0.318603240568203
"33",0.0399172972493445
"34",0.36489008851173
"35",0.31355918440942
"36",0.488785307296599
"37",0.530875975938282
"38",0.540128981472257
"39",0.374036700443561
"40",0.264360414982408
"41",0.418817028367397
"42",0.142190844962646
"43",-0.0570029457311905
"44",0.156867478067853
"45",0.162065931985961
"46",0.235923545477633
"47",-0.0952915621553766
"48",-0.0310604897354977
"49",-0.0586945260877723
"50",0.0326668547260298
"51",0.0448674352115566
"52",0.0395782529500274
"53",-0.284591393797024
"54",-0.221865248272274
"55",0.0212779803513567
"56",0.0678338400936963
"57",-0.0384690863441052
"58",-0.0201041206912257
"59",0.350982485069483
"60",-0.463022652554744
"61",-0.202339154282167
"62",-0.126350936009592
"63",-0.0645168685673776
"64",0.139074794890056
"65",-0.0639068371897023
"66",0.0808125397131115
"67",-0.129008953192606
"68",0.00948209437944897
"69",0.0662436943619691
"70",-0.226737005268226
"71",-0.202795724422947
"72",-0.130884949451806
"73",-0.216685866823624
"74",-0.0039528182964201
"75",-0.069267990507882
"76",-0.0325483937125332
"77",-0.00670078044952875
"78",0.0106547743363195
"79",-0.0156411857697329
"80",-0.110647508288025
"81",-0.253316700862826
"82",-0.0141184205665297
"83",-0.0654828212400445
"84",0.178389774799887
"85",0.110295597038298
"86",-0.316325806654724
"87",-0.170021492968452
"88",0.0370014212945746
"89",-0.0686112571840357
"90",0.0439799744534597
"91",-0.249226848743667
"92",-0.0394209201213772
"93",-0.0172926562609521
"94",-0.0387517680056387
"95",-0.248363911588943
"96",-0.239095295811673
"97",-0.115063096119459
"98",0.0855352226055818
"99",-0.0147857550683964
"100",-0.415994688742732
"101",0.0164832332018422
"102",-0.183896763513994
"103",0.0987371384037483
"104",-0.0131598363284788
"105",-0.229604692519165
"106",-0.196089317148088
"107",0.0617882095501203
"108",-0.211295295645166
"109",0.128865637358368
"110",-0.179390312388088
"111",-0.079245174020071
"112",-0.017884773011198
"113",0.0722292292750441
"114",-0.239365746474113
"115",-0.0133017480960273
"116",-0.135991838519293
"117",-0.077852485984868
"118",-0.0142856403320902
"119",0.0385221853390148
"120",-0.0249176224725609
"121",-0.0725062838051808
"122",-0.00473060459537369
"123",0.0714160635986196
"124",-0.0303535423692479
"125",-0.271428688946076
"126",0.206073424756767
"127",-0.0420014693386744
"128",0.0592868249581514
"129",0.0230929198421879
"130",-0.0943308052175088
"131",-0.19964213784796
"132",0.070695843480131
"133",0.0644186454722382
"134",-0.0746714264582584
"135",-0.2042406341396
"136",-0.0877179604401342
"137",-0.108274782686951
"138",0.0630435290318541
"139",-0.00551118264411962
